Adenosine, Ad1	ADORA1	ENSP00000308549
Adenosine, Ad2a	ADORA2A	ENSP00000336630
Adenosine, Ad3	ADORA3	ENSP00000358730
Adrenergic alpha, Al1b	ADRA1B	ENSP00000306662
Adrenergic alpha, Al1a	ADRA1A	ENSP00000369960
Adrenergic alpha, Al2a	ADRA2A	ENSP00000280155
Adrenergic beta, Beta1	ADRB1	ENSP00000358301
Adrenergic alpha, Al2b	ADRA2B	ENSP00000387281
Adrenergic beta, Beta2	ADRB2	ENSP00000305372
Angiotensin II, AT1	AGTR1	ENSP00000273430
Vasopressin V1a	AVPR1A	ENSP00000299178
Vasopressin V1b	AVPR1B	ENSP00000356094
Bradykinin, B1	BDKRB1	ENSP00000216629
Bradykinin, B2	BDKRB2	ENSP00000307713
Calcitonin gene-related peptide, CGRP	CALCRL	ENSP00000376177
Muscarinic, M1(h)	CHRM1	ENSP00000306490
Muscarinic, M2	CHRM2	ENSP00000319984
Muscarinic, M3	CHRM3	ENSP00000255380
Dopamine, D1	DRD1	ENSP00000327652
Endothelin, ETa	EDNRA	ENSP00000315011
Endothelin ETb	EDNRB	ENSP00000335311
Ghrelin, GHS	GHSR	ENSP00000241256
Histamine, H3	HRH3	ENSP00000342560
Serotonin, 5-HT2b	HTR2B	ENSP00000258400
Serotonin, 5-HT4	HTR4	ENSP00000353915
NPY, Y1	NPY1R	ENSP00000354652
NE transporter	SLC6A2	ENSP00000369237
Thromboxane a2 receptor, TP	TBXA2R	ENSP00000364336
Ca channel type L, benzothiazepine	D020746	ENSP00000320025 ENSP00000365441 ENSP00000266376 ENSP00000377840 ENSP00000327950 ENSP00000372169 ENSP00000355192 ENSP00000352413 ENSP00000288139
Ca channel type L, phenylalkylamie	D020746	ENSP00000320025 ENSP00000365441 ENSP00000266376 ENSP00000377840 ENSP00000327950 ENSP00000372169 ENSP00000355192 ENSP00000352413 ENSP00000288139
Potassium Ch (hERG)	D051638	ENSP00000342628 ENSP00000384554 ENSP00000262186 ENSP00000395470 ENSP00000321427 ENSP00000318212 ENSP00000331727 ENSP00000271751
Nicotinic acetylcholine	D011978	ENSP00000261007 ENSP00000359285 ENSP00000303727 ENSP00000357461 ENSP00000276410 ENSP00000240132 ENSP00000289957 ENSP00000293780 ENSP00000315602 ENSP00000375066 ENSP00000304290 ENSP00000312663 ENSP00000250699
Sodium Ch (site 2)	D015222	ENSP00000307599 ENSP00000300061 ENSP00000283256 ENSP00000396320 ENSP00000228916 ENSP00000345751 ENSP00000346534 ENSP00000283254 ENSP00000321594 ENSP00000278947 ENSP00000390600 ENSP00000299333 ENSP00000386306 ENSP00000364554 ENSP00000328968 ENSP00000264432 ENSP00000386796 ENSP00000375003 ENSP00000396915 ENSP00000251127 ENSP00000254624 ENSP00000297512 ENSP00000322460
Adrenergic alpha, Al2c	?	
Potassium Ch [ATP]	?	
Muscarinic, M4	?	
